question|answer
Apa itu variabel dalam pemrograman?|Variabel adalah lokasi penyimpanan yang diberi nama yang dapat menyimpan nilai yang dapat diubah selama eksekusi program.
Apa itu loop dalam pemrograman?|Loop adalah struktur kontrol yang memungkinkan eksekusi sekelompok pernyataan berulang kali selama kondisi tertentu terpenuhi.
Apa itu array?|Array adalah struktur data yang menyimpan sekelompok elemen dengan tipe yang sama dalam urutan yang berdekatan.
Apa itu fungsi dalam pemrograman?|Fungsi adalah blok kode yang dapat dipanggil dengan nama dan dapat menerima masukan (parameter) dan mengembalikan keluaran.
Apa itu debugging?|Debugging adalah proses menemukan dan memperbaiki bug atau kesalahan dalam kode program.
Apa itu IDE?|IDE adalah Integrated Development Environment, yaitu perangkat lunak yang menyediakan alat bantu pemrograman seperti editor kode, debugger, dan kompilator.
Apa itu algoritma?|Algoritma adalah serangkaian langkah logis yang digunakan untuk menyelesaikan masalah atau melakukan tugas tertentu.
Apa itu kompilator?|Kompilator adalah program yang mengubah kode sumber yang ditulis dalam bahasa pemrograman tingkat tinggi menjadi bahasa mesin yang dapat dieksekusi oleh komputer.
Apa itu bahasa pemrograman tingkat tinggi?|Bahasa pemrograman tingkat tinggi adalah bahasa pemrograman yang lebih mudah dipahami oleh manusia karena lebih mirip dengan bahasa alami.
Apa itu bahasa pemrograman tingkat rendah?|Bahasa pemrograman tingkat rendah adalah bahasa pemrograman yang lebih dekat dengan bahasa mesin dan lebih sulit dipahami oleh manusia.
Apa itu OOP?|OOP adalah Object-Oriented Programming, yaitu paradigma pemrograman yang menggunakan objek dan kelas untuk mengorganisasi kode.
Apa itu inheritance dalam OOP?|Inheritance adalah konsep dalam OOP di mana sebuah kelas dapat mewarisi sifat dan perilaku dari kelas lain.
Apa itu polymorphism dalam OOP?|Polymorphism adalah kemampuan objek untuk mengambil bentuk yang berbeda tergantung pada konteks pemanggilannya.
Apa itu encapsulation dalam OOP?|Encapsulation adalah konsep dalam OOP di mana data dan metode yang bekerja pada data tersebut dibungkus menjadi satu unit atau objek.
Apa itu abstraction dalam OOP?|Abstraction adalah konsep dalam OOP di mana detail implementasi disembunyikan dan hanya fitur penting yang ditampilkan kepada pengguna.
Apa itu framework?|Framework adalah sekumpulan alat dan pustaka yang menyediakan kerangka kerja standar untuk membangun aplikasi perangkat lunak.
Apa itu library?|Library adalah kumpulan fungsi dan kode yang dapat digunakan kembali oleh program lain untuk menyederhanakan proses pengembangan.
Apa itu API?|API adalah Application Programming Interface, yaitu seperangkat aturan dan definisi yang memungkinkan perangkat lunak untuk saling berkomunikasi.
Apa itu git?|Git adalah sistem kontrol versi yang digunakan untuk melacak perubahan dalam kode sumber selama pengembangan perangkat lunak.
Apa itu repository dalam git?|Repository adalah tempat penyimpanan di mana semua file proyek dan riwayat revisi kode tersimpan.
Apa itu commit dalam git?|Commit adalah tindakan menyimpan perubahan yang dibuat dalam kode ke repository dengan pesan deskriptif.
Apa itu branch dalam git?|Branch adalah cabang terpisah dari jalur utama pengembangan yang memungkinkan pengembang bekerja pada fitur atau perbaikan baru tanpa mengganggu kode yang ada.
Apa itu merge dalam git?|Merge adalah proses menggabungkan perubahan dari satu branch ke branch lain.
Apa itu pull request?|Pull request adalah permintaan untuk menggabungkan perubahan yang telah dibuat di branch pengembang ke branch utama proyek.
Apa itu bug?|Bug adalah kesalahan atau cacat dalam program yang menyebabkan hasil yang tidak diharapkan atau kegagalan.
Apa itu testing dalam pengembangan perangkat lunak?|Testing adalah proses mengevaluasi perangkat lunak untuk memastikan bahwa itu bekerja seperti yang diharapkan dan bebas dari bug.
Apa itu unit testing?|Unit testing adalah pengujian yang memeriksa fungsi individual dari kode secara terpisah untuk memastikan bahwa mereka bekerja dengan benar.
Apa itu integration testing?|Integration testing adalah pengujian yang memeriksa bagaimana berbagai unit kode bekerja bersama-sama.
Apa itu system testing?|System testing adalah pengujian lengkap dari sistem perangkat lunak secara keseluruhan untuk memastikan bahwa semua komponen bekerja dengan baik bersama-sama.
Apa itu regression testing?|Regression testing adalah pengujian ulang sistem perangkat lunak setelah perubahan dilakukan untuk memastikan bahwa perubahan tersebut tidak merusak fitur yang sudah ada.
Apa itu agile?|Agile adalah metode pengembangan perangkat lunak yang menekankan kolaborasi, iterasi, dan fleksibilitas dalam menanggapi perubahan kebutuhan.
Apa itu Scrum?|Scrum adalah kerangka kerja agile yang digunakan untuk mengelola dan mengontrol pengembangan perangkat lunak dengan pendekatan iteratif dan inkremental.
Apa itu sprint dalam Scrum?|Sprint adalah periode waktu tertentu (biasanya 2-4 minggu) di mana tim Scrum menyelesaikan serangkaian tugas yang telah direncanakan.
Apa itu backlog dalam Scrum?|Backlog adalah daftar tugas dan fitur yang harus diselesaikan oleh tim Scrum dalam pengembangan perangkat lunak.
Apa itu product owner?|Product owner adalah anggota tim Scrum yang bertanggung jawab untuk menentukan kebutuhan produk dan mengelola backlog.
Apa itu Scrum Master?|Scrum Master adalah anggota tim Scrum yang bertanggung jawab untuk memastikan bahwa tim mengikuti praktik Scrum dan menghilangkan hambatan yang menghalangi kemajuan.
Apa itu pair programming?|Pair programming adalah praktik pemrograman di mana dua pengembang bekerja sama di satu komputer, dengan satu menulis kode dan yang lain mengulas kode yang ditulis.
Apa itu refactoring?|Refactoring adalah proses memperbaiki struktur internal kode tanpa mengubah perilaku eksternal untuk meningkatkan kualitas dan keterbacaan.
Apa itu continuous integration?|Continuous integration adalah praktik menggabungkan perubahan kode dari semua pengembang ke branch utama secara berkala untuk mengidentifikasi dan memperbaiki konflik lebih awal.
Apa itu continuous deployment?|Continuous deployment adalah praktik mengotomatiskan proses pengiriman perangkat lunak ke produksi setelah pengujian berhasil.
Apa itu containerization?|Containerization adalah teknologi yang memungkinkan pengembang untuk membungkus aplikasi dan dependensinya dalam satu paket yang dapat dijalankan di lingkungan apa pun.
Apa itu Docker?|Docker adalah platform yang menyediakan alat untuk membuat, mengirim, dan menjalankan aplikasi dalam container.
Apa itu Kubernetes?|Kubernetes adalah platform open-source untuk mengotomatiskan penyebaran, penskalaan, dan pengelolaan aplikasi container.
Apa itu microservices?|Microservices adalah arsitektur di mana aplikasi dibangun sebagai sekumpulan layanan kecil yang dapat di-deploy dan diskalakan secara independen.
Apa itu REST API?|REST API adalah antarmuka pemrograman yang mengikuti prinsip-prinsip REST (Representational State Transfer) untuk memungkinkan komunikasi antara sistem.
Apa itu GraphQL?|GraphQL adalah bahasa query untuk API yang memungkinkan klien meminta data yang mereka butuhkan dengan tepat.
Apa itu JWT?|JWT adalah JSON Web Token, yaitu standar untuk membuat token yang dapat digunakan untuk otentikasi dan pertukaran informasi dengan aman.
Apa itu OAuth?|OAuth adalah protokol otentikasi yang memungkinkan aplikasi pihak ketiga untuk mengakses sumber daya pengguna tanpa membagikan kredensial pengguna.
Apa itu SQL?|SQL adalah Structured Query Language, yaitu bahasa yang digunakan untuk mengelola dan memanipulasi basis data relasional.
Apa itu NoSQL?|NoSQL adalah jenis basis data yang tidak menggunakan skema tabel relasional untuk menyimpan data dan biasanya digunakan untuk data yang tidak terstruktur.
Apa itu schema dalam basis data?|Schema adalah struktur atau definisi yang menggambarkan bagaimana data diatur dalam basis data.
Apa itu index dalam basis data?|Index adalah struktur data yang meningkatkan kecepatan pencarian data dalam tabel basis data.
